"290","Mr. Ajiboye Isaac Temitope","Nigeria Customs Service, Intelligence Unit, Tincan Port","2"
"291","Mr. Bakut T.A. Tuba","Assistant Director, Federal Ministry of Environment","2"
"292","Mr. Odunsi Bola Opeyemi Ayoola","Federal Ministry of Environment","2"
"293","Mr. Alh. Ibrahim M. Goni","Federal Ministry of Environment","2"
"294","Dr. Okeyoyin O. Agboola","Federal Ministry of Environment","2"
"295","Mr. Aminu Ahmed","Nigeria Police, INTERPOL","2"
"296","Ms. Liza Gadsby","PASA","2"
"297","Mrs. Kate M.B. Garnett ","Ministry of Agriculture, Forestry and Food Security","2"
"298","Dr. Abdul Babatunde Karim","University of Sierra Leone","2"
"299","Mr. Momoda Alrashid Bah","Director of the Environmental Protection Agency (EPA)","2"
"300","Mr. Syl Brans Kamara","Environmental Protection Agency (EPA)","2"
"301","Mr. Bassie Mans Dabo","Interpol ","2"
"302","Mr. Brian Samba Kemoh","Custom Services Department","2"
"303","Mr. Apla Yao Mawouéna","Ministry of the Environment and Forest Resources     ","2"
"304","Mr. Segniagbeto Hoinsoude","CITES Scientific Authority, University of Lome","2"
"305","Mr. Guelly Atsu Kudzo","CITES Scientific Authority ","2"
"307","Mr. Okoumassou Kotchikpa","Ministry of Environment and Forestry Resources","2"
"308","Madame Odjoulorè Florentine Akakpo","BCN Interpol Lome'","2"
"309","Fauna Cultura ","Not applicable","2"
"310","Mr. Semedo Komla","Central Office of Drugs Illegal Traffic Repression and Money Laundering (OCRTIDB)","2"
"311","Commandant Doboehloui Didier","Ivorians Customs Directorate of Intelligence, Risk Management and Goods Assessment","2"
"312","Captain Kouassi Koko Dah","International Airport Félix Houphouet Boigny d'Abidjan","2"
"313","Mrs. Sónia Monteiro de Pina Araujo","CITES, Ministry of Agriculture and the Environment","2"
"314","Mr. Solomon Nyebaayou Daryoue ","National Fisheries and Aquaculture Authority (NaFAA)","2"
"315","Mr. Saa Saamoi","Custom Liberia Revenue Authority","2"
"316","Mr. Afiademanyo Komlan","CITES ","2"
"317","Mr Orphée Achille Lokossou","CITES","2"
